index,Commune,NPA,Commune d'annonce / District,full_demand_thu,distance_to_venoge_km
94,Moudon,1510,Moudon,18.0,26.87
95,Vucherens,1509,Vucherens,7.0,27.24
96,Champvent,1443,Champvent,15.0,27.27
97,Les Cullayes,1080,Forel (Lavaux),9.0,27.56
98,Perroy,1166,Féchy,12.0,27.66
99,Le Pont,1342,L'Abbaye,6.0,28.04
101,Neyruz-sur-Moudon,1515,Montanaire,4.0,28.47
103,L'Abbaye,1344,L'Abbaye,9.0,29.45
104,Puidoux,1070,Puidoux,29.0,29.6
105,Montherod,1174,Aubonne,4.0,29.64
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,35.0,29.77
107,Cuarny,1404,Cuarny,4.0,29.87
108,Bougy-Villars,1172,Bougy-Villars,1.0,30.02
109,Servion,1077,Servion,19.0,30.17
110,Mézières VD,1083,Jorat-Mézières,15.0,30.2
111,Les Tavernes,1607,Oron,20.0,30.22
112,St-Livres,1176,Saint-Livres,8.0,30.27
113,Le Séchey,1345,Le Lieu,2.0,30.45
114,Cronay,1406,Cronay,4.0,30.57
115,Châtillens,1610,Oron,11.0,30.79
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,17.0,30.86
117,Chavannes-sur-Moudon,1512,Chavannes-sur-Moudon,2.0,30.89
118,Baulmes,1446,Baulmes,7.0,30.92
119,Corseaux,1802,Corseaux,6.0,30.96
120,Chardonne,1803,Chardonne,21.0,31.29
121,Les Charbonnières,1343,Le Lieu,1.0,31.67
122,Jongny,1805,Corsier-sur-Vevey,23.0,31.96
123,Corsier-sur-Vevey,1804,Jongny,15.0,32.04
124,Bursins,1183,Gilly,11.0,32.33
125,Gilly,1182,Gilly,16.0,32.34
126,Orges,1430,Orges,2.0,32.47
127,Bursinel,1195,Gilly,12.0,32.67
128,Oulens-sur-Lucens,1522,Lucens,20.0,32.67
129,Chesalles-sur-Moudon,1683,Lucens,3.0,32.84
130,Ferlens VD,1076,Jorat-Mézières,8.0,32.92
131,Forel-sur-Lucens,1526,Lucens,6.0,32.95
132,Saubraz,1189,Saubraz,8.0,33.33
133,Carrouge VD,1084,Vulliens,21.0,33.34
134,Combremont-le-Petit,1536,Valbroye,2.0,33.49
135,Yvonand,1462,Yvonand,21.0,33.65
136,Vinzel,1184,Vinzel,22.0,33.76
137,Curtilles,1521,Curtilles,2.0,33.84
138,Vuiteboeuf,1445,Vuiteboeuf,2.0,33.93
139,La Conversion,1093,Lutry,19.0,33.94
140,Essertines-sur-Rolle,1186,Essertines-sur-Rolle,6.0,34.02
141,Ecoteaux,1612,Oron,2.0,34.15
142,Champagne,1424,Champagne,16.0,34.42
143,Les Bioux,1346,L'Abbaye,2.0,34.44
144,Le Mont-Pèlerin,1801,Chardonne,1.0,34.51
145,Vugelles-La Mothe,1431,Vugelles-La Mothe,10.0,34.6
146,Burtigny,1268,Bursins,38.0,35.06
147,St-Oyens,1187,Saint-Oyens,2.0,35.53
