index,Commune,NPA,Commune d'annonce / District,wed_tickets
125,Gilly,1182,Gilly,4.0
126,Orges,1430,Orges,10.0
127,Bursinel,1195,Gilly,2.0
128,Oulens-sur-Lucens,1522,Lucens,48.0
130,Ferlens VD,1076,Jorat-Mézières,9.0
131,Forel-sur-Lucens,1526,Lucens,3.0
132,Saubraz,1189,Saubraz,10.0
133,Carrouge VD,1084,Vulliens,9.0
134,Combremont-le-Petit,1536,Valbroye,3.0
135,Yvonand,1462,Yvonand,71.0
136,Vinzel,1184,Vinzel,3.0
137,Curtilles,1521,Curtilles,8.0
138,Vuiteboeuf,1445,Vuiteboeuf,7.0
139,La Conversion,1093,Lutry,13.0
140,Essertines-sur-Rolle,1186,Essertines-sur-Rolle,4.0
141,Ecoteaux,1612,Oron,8.0
142,Champagne,1424,Champagne,15.0
143,Les Bioux,1346,L'Abbaye,3.0
144,Le Mont-Pèlerin,1801,Chardonne,6.0
145,Vugelles-La Mothe,1431,Vugelles-La Mothe,9.0
146,Burtigny,1268,Bursins,21.0
147,St-Oyens,1187,Saint-Oyens,3.0
148,Bonvillars,1427,Bonvillars,17.0
149,Onnens VD,1425,Onnens (VD),17.0
150,Fiez,1420,Fiez,12.0
153,Chailly-Montreux,1816,Montreux,2.0
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,42.0
155,Lovatens,1682,Lovatens,7.0
156,Vich,1267,Vich,7.0
157,Maracon,1613,Maracon,13.0
158,Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,12.0
159,Molondin,1415,Molondin,7.0
160,Clarens,1815,Montreux,56.0
161,Blonay,1807,Montreux,59.0
162,Brent,1817,Montreux,1.0
163,Gimel,1188,Gimel,26.0
164,L'Orient,1341,Le Chenit,11.0
165,Le Solliat,1347,Le Chenit,32.0
166,Le Brassus,1348,Le Chenit,19.0
167,Villars-Burquin,1423,Tévenon,8.0
168,L'Auberson,1454,Sainte-Croix,2.0
169,Rovray,1463,Rovray,1.0
170,Duillier,1266,Duillier,4.0
171,La Sagne (Ste-Croix),1450,Sainte-Croix,15.0
172,Chernex,1822,Montreux,11.0
173,Prangins,1197,Prangins,38.0
174,Montreux,1820,Montreux,19.0
175,Chêne-Pâquier,1464,Chêne-Pâquier,7.0
176,Genolier,1272,Genolier,4.0
177,Longirod,1261,Longirod,7.0
179,Signy,1274,Signy-Avenex,7.0
180,Trélex,1270,Trélex,7.0
181,Glion,1823,Montreux,8.0
182,Chamby,1832,Montreux,1.0
184,Mutrux,1428,Mutrux,10.0
185,Eysins,1262,Eysins,11.0
186,Borex,1277,Borex,7.0
187,Vaumarcus,2028,Concise,4.0
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,40.0
189,Bassins,1269,Bassins,16.0
190,Gingins,1276,Saint-Cergue,11.0
191,Les Rasses,1452,Sainte-Croix,3.0
192,Crassier,1263,Crassier,8.0
194,Crans VD,1299,Crans (VD),7.0
195,Chéserex,1275,Chéserex,4.0
196,Rennaz,1847,Rennaz,2.0
197,Roche VD,1852,Roche (VD),38.0
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,13.0
199,Payerne,1530,Payerne,73.0
200,Noville,1845,Noville,13.0
201,Founex,1297,Founex,21.0
202,Chessel,1846,Chessel,4.0
203,Coppet,1296,Coppet,9.0
204,Granges-près-Marnand,1523,Valbroye,9.0
205,Commugny,1291,Commugny,2.0
206,Tannay,1295,Tannay,9.0
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,37.0
208,Yvorne,1853,Yvorne,9.0
209,Marnand,1524,Valbroye,2.0
212,St-Cergue,1264,Saint-Cergue,10.0
213,Couvet,2108,Provence,26.0
214,Trey,1552,Trey,9.0
215,Chevroux,1545,Chevroux,2.0
216,Aigle,1860,Aigle,37.0
218,Arzier-Le Muids,1273,Arzier-Le Muids,13.0
219,Sédeilles,1554,Villarzel,2.0
220,Villeneuve VD,1844,Villeneuve (VD),27.0
221,St-Triphon,1867,Ollon,36.0
223,Villars-le-Grand,1584,Vully-les-Lacs,3.0
224,Salavaux,1585,Vully-les-Lacs,4.0
225,Constantine,1587,Vully-les-Lacs,1.0
226,Bex,1880,Bex,40.0
227,Chabrey,1589,Vully-les-Lacs,9.0
228,Huémoz,1884,Ollon,2.0
230,Lavey-les-Bains,1892,Lavey-Morcles,3.0
231,Les Moulins,1660,Château-d'Oex,3.0
232,Chesières,1885,Ollon,4.0
233,Cudrefin,1588,Cudrefin,23.0
234,La Forclaz VD,1866,Ollon,1.0
236,Rougemont,1659,Château-d'Oex,6.0
237,Gryon,1882,Gryon,3.0
