index,Commune,NPA,Commune d'annonce / District,thu_tickets
129,Chesalles-sur-Moudon,1683,Lucens,3.0
130,Ferlens VD,1076,Jorat-Mézières,8.0
131,Forel-sur-Lucens,1526,Lucens,6.0
132,Saubraz,1189,Saubraz,8.0
133,Carrouge VD,1084,Vulliens,21.0
134,Combremont-le-Petit,1536,Valbroye,2.0
135,Yvonand,1462,Yvonand,21.0
136,Vinzel,1184,Vinzel,22.0
137,Curtilles,1521,Curtilles,2.0
138,Vuiteboeuf,1445,Vuiteboeuf,2.0
139,La Conversion,1093,Lutry,19.0
140,Essertines-sur-Rolle,1186,Essertines-sur-Rolle,6.0
141,Ecoteaux,1612,Oron,2.0
142,Champagne,1424,Champagne,16.0
143,Les Bioux,1346,L'Abbaye,2.0
144,Le Mont-Pèlerin,1801,Chardonne,1.0
145,Vugelles-La Mothe,1431,Vugelles-La Mothe,10.0
146,Burtigny,1268,Bursins,38.0
147,St-Oyens,1187,Saint-Oyens,2.0
148,Bonvillars,1427,Bonvillars,18.0
149,Onnens VD,1425,Onnens (VD),6.0
150,Fiez,1420,Fiez,7.0
151,Fenil-sur-Corsier,1809,Corsier-sur-Vevey,2.0
153,Chailly-Montreux,1816,Montreux,2.0
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,73.0
155,Lovatens,1682,Lovatens,3.0
156,Vich,1267,Vich,9.0
157,Maracon,1613,Maracon,13.0
159,Molondin,1415,Molondin,2.0
160,Clarens,1815,Montreux,20.0
161,Blonay,1807,Montreux,48.0
162,Brent,1817,Montreux,2.0
163,Gimel,1188,Gimel,33.0
164,L'Orient,1341,Le Chenit,4.0
165,Le Solliat,1347,Le Chenit,22.0
166,Le Brassus,1348,Le Chenit,18.0
167,Villars-Burquin,1423,Tévenon,15.0
168,L'Auberson,1454,Sainte-Croix,2.0
170,Duillier,1266,Duillier,15.0
171,La Sagne (Ste-Croix),1450,Sainte-Croix,20.0
172,Chernex,1822,Montreux,2.0
173,Prangins,1197,Prangins,30.0
174,Montreux,1820,Montreux,13.0
175,Chêne-Pâquier,1464,Chêne-Pâquier,6.0
176,Genolier,1272,Genolier,11.0
177,Longirod,1261,Longirod,25.0
178,Champtauroz,1537,Champtauroz,2.0
180,Trélex,1270,Trélex,18.0
182,Chamby,1832,Montreux,1.0
183,Givrins,1271,Givrins,3.0
184,Mutrux,1428,Mutrux,2.0
185,Eysins,1262,Eysins,2.0
186,Borex,1277,Borex,8.0
187,Vaumarcus,2028,Concise,2.0
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,40.0
189,Bassins,1269,Bassins,11.0
190,Gingins,1276,Saint-Cergue,2.0
192,Crassier,1263,Crassier,18.0
193,Mauborget,1453,Grandevent,7.0
194,Crans VD,1299,Crans (VD),18.0
195,Chéserex,1275,Chéserex,15.0
196,Rennaz,1847,Rennaz,2.0
197,Roche VD,1852,Roche (VD),10.0
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,8.0
199,Payerne,1530,Payerne,8.0
200,Noville,1845,Noville,6.0
201,Founex,1297,Founex,12.0
202,Chessel,1846,Chessel,4.0
203,Coppet,1296,Coppet,17.0
204,Granges-près-Marnand,1523,Valbroye,2.0
205,Commugny,1291,Commugny,4.0
206,Tannay,1295,Tannay,22.0
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,42.0
209,Marnand,1524,Valbroye,3.0
210,La Rippe,1278,La Rippe,3.0
212,St-Cergue,1264,Saint-Cergue,4.0
215,Chevroux,1545,Chevroux,4.0
216,Aigle,1860,Aigle,27.0
218,Arzier-Le Muids,1273,Arzier-Le Muids,12.0
220,Villeneuve VD,1844,Villeneuve (VD),21.0
221,St-Triphon,1867,Ollon,17.0
222,La Tine,1658,Rossinière,3.0
224,Salavaux,1585,Vully-les-Lacs,4.0
226,Bex,1880,Bex,21.0
227,Chabrey,1589,Vully-les-Lacs,8.0
230,Lavey-les-Bains,1892,Lavey-Morcles,6.0
231,Les Moulins,1660,Château-d'Oex,11.0
232,Chesières,1885,Ollon,2.0
233,Cudrefin,1588,Cudrefin,25.0
235,La Comballaz,1862,Ormont-Dessous,4.0
237,Gryon,1882,Gryon,4.0
238,Corbeyrier,1856,Ormont-Dessous,2.0
