index,Commune,NPA,Commune d'annonce / District,full_demand_wed,distance_to_venoge_km,P_Y,adjusted_demand_wed
19,Chevilly,1316,Chevilly,11.0,9.38,0.8932140608510197,10
20,Echandens,1026,Echandens,65.0,9.7,0.8869541699279211,58
21,Morrens VD,1054,Morrens (VD),31.0,9.71,0.8867534817398037,27
22,Eclagnens,1376,Goumoëns,39.0,10.34,0.8734706244163147,34
23,Ecublens VD,1024,Ecublens (VD),100.0,10.6,0.8676111264579346,87
23,Ecublens VD,1024,Ecublens (VD),47.0,10.6,0.8676111264579346,41
24,St-Saphorin-sur-Morges,1113,Echichens,16.0,10.75,0.8641271029909058,14
25,Colombier VD,1114,Echichens,4.0,10.88,0.8610454034281185,3
26,Cottens VD,1116,Hautemorges,6.0,11.29,0.8509409244986056,5
27,Cugy VD,1053,Cugy (VD),78.0,11.3,0.8506870654691563,66
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,98.0,11.43,0.8473543831298855,83
29,Ferreyres,1313,Ferreyres,20.0,12.65,0.8130573860319537,16
30,Vaux-sur-Morges,1126,Vaux-sur-Morges,2.0,12.96,0.8034502994725664,2
31,Clarmont,1127,Clarmont,1.0,13.14,0.7977030914790996,1
32,Monnaz,1125,Echichens,4.0,13.26,0.7938024603249474,3
33,Lausanne,1007,Lausanne,100.0,13.51,0.7854981938976445,79
33,Lausanne,1007,Lausanne,33.0,13.51,0.7854981938976445,26
34,Lausanne,1018,Lausanne,100.0,13.64,0.7810849226908843,78
34,Lausanne,1018,Lausanne,65.0,13.64,0.7810849226908843,51
35,Poliez-le-Grand,1041,Montilliez,100.0,13.9,0.7720635494267837,77
35,Poliez-le-Grand,1041,Montilliez,19.0,13.9,0.7720635494267837,15
36,St-Sulpice VD,1025,Saint-Sulpice (VD),48.0,14.13,0.7638672733326819,37
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,100.0,14.3,0.7576796390037048,76
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,48.0,14.3,0.7576796390037048,36
38,Lausanne,1004,Lausanne,100.0,14.6,0.7464939833376621,75
38,Lausanne,1004,Lausanne,100.0,14.6,0.7464939833376621,75
38,Lausanne,1004,Lausanne,71.0,14.6,0.7464939833376621,53
39,Lausanne,1003,Lausanne,41.0,15.24,0.7215172162514372,30
