index,Commune,NPA,Commune d'annonce / District,full_demand_fri,distance_to_venoge_km,P_Y,adjusted_demand_fri
59,Mollens VD,1146,Mollens (VD),2.0,20.11,0.49450022182259706,1
60,La Croix (Lutry),1090,Lutry,9.0,20.14,0.49300045729748126,4
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,3.0,20.15,0.4925005624493796,1
62,Montricher,1147,Montricher,10.0,20.65,0.46754569361268133,5
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,6.0,20.98,0.45115626505294826,3
64,Peney-le-Jorat,1059,Jorat-Menthue,6.0,21.03,0.4486813516217847,3
65,Vuarrens,1418,Vuarrens,23.0,21.27,0.43683920889452504,10
66,Agiez,1352,Agiez,2.0,21.45,0.42800386706848137,1
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,7.0,21.77,0.41241276875119876,3
68,Villars-sous-Yens,1168,Villars-sous-Yens,2.0,22.24,0.38983638905718954,1
70,Hermenches,1513,Hermenches,4.0,22.53,0.37613168601042085,2
72,Ropraz,1088,Ropraz,3.0,22.89,0.359392923360512,1
73,Savigny,1073,Savigny,25.0,23.12,0.34887226139659494,9
75,Lavigny,1175,Lavigny,11.0,23.76,0.3203856670948646,4
76,Montpreveyres,1081,Montpreveyres,2.0,23.78,0.31951533878339816,1
77,Pailly,1416,Pailly,17.0,23.93,0.31302819161693,5
78,Ursins,1412,Ursins,1.0,24.22,0.3006930071413841,0
79,Montcherand,1354,Montcherand,8.0,24.57,0.28618201140363403,2
80,Mathod,1438,Mathod,3.0,24.82,0.2760780434271086,1
81,Sergey,1355,Sergey,4.0,24.83,0.27567850457660137,1
82,Rances,1439,Rances,6.0,25.11,0.26463800790147674,2
83,Orzens,1413,Orzens,3.0,25.18,0.26192253366857116,1
84,Aubonne,1170,Aubonne,16.0,25.22,0.26037892892097797,4
85,Vaulion,1325,Vaulion,6.0,25.22,0.26037892892097797,2
86,Forel (Lavaux),1072,Forel (Lavaux),13.0,25.82,0.23794122425043068,3
87,Buchillon,1164,Buchillon,6.0,26.28,0.22166323840810365,1
88,Féchy,1173,Féchy,3.0,26.33,0.21994275501174526,1
90,Chexbres,1071,Chexbres,15.0,26.4,0.21755022357688752,3
91,Rueyres,1046,Rueyres,9.0,26.51,0.21382861265687306,2
93,Gossens,1407,Donneloye,3.0,26.73,0.2065250922659967,1
94,Moudon,1510,Moudon,22.0,26.87,0.2019743549401669,4
95,Vucherens,1509,Vucherens,3.0,27.24,0.19030955880907033,1
96,Champvent,1443,Champvent,2.0,27.27,0.18938672534996576,0
97,Les Cullayes,1080,Forel (Lavaux),6.0,27.56,0.18064258237704414,1
98,Perroy,1166,Féchy,4.0,27.66,0.17770125034862685,1
99,Le Pont,1342,L'Abbaye,2.0,28.04,0.166866472460277,0
100,Chanéaz,1409,Montanaire,1.0,28.15,0.16383036122335892,0
103,L'Abbaye,1344,L'Abbaye,2.0,29.45,0.13124446943852333,0
104,Puidoux,1070,Puidoux,18.0,29.6,0.1278615663190813,2
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,6.0,29.77,0.12411785352653222,1
107,Cuarny,1404,Cuarny,4.0,29.87,0.12195989597306507,0
109,Servion,1077,Servion,4.0,30.17,0.11567910281505907,0
110,Mézières VD,1083,Jorat-Mézières,1.0,30.2,0.1150667320455498,0
111,Les Tavernes,1607,Oron,4.0,30.22,0.11466005324769508,0
112,St-Livres,1176,Saint-Livres,4.0,30.27,0.11364882707857812,0
113,Le Séchey,1345,Le Lieu,2.0,30.45,0.11007257436250302,0
114,Cronay,1406,Cronay,12.0,30.57,0.10774352354911987,1
115,Châtillens,1610,Oron,11.0,30.79,0.10358601618235926,1
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,4.0,30.86,0.10229322865649329,0
118,Baulmes,1446,Baulmes,3.0,30.92,0.1011965239313324,0
119,Corseaux,1802,Corseaux,7.0,30.96,0.10047119560759603,1
120,Chardonne,1803,Chardonne,10.0,31.29,0.09466163166868698,1
122,Jongny,1805,Corsier-sur-Vevey,22.0,31.96,0.08378477426774984,2
123,Corsier-sur-Vevey,1804,Jongny,7.0,32.04,0.08256468722313899,1
124,Bursins,1183,Gilly,2.0,32.33,0.07827634537010729,0
125,Gilly,1182,Gilly,9.0,32.34,0.07813216870533485,1
126,Orges,1430,Orges,4.0,32.47,0.07627987420426198,0
