"","PLZ","day","ticket"
"519",1180,"VE",19
"520",1180,"SA",15
"521",1182,"ME",4
"522",1182,"JE",14
"523",1182,"VE",8
"524",1182,"SA",18
"525",1183,"ME",8
"526",1183,"JE",10
"527",1183,"VE",2
"528",1183,"SA",4
"529",1184,"ME",3
"530",1184,"JE",20
"531",1184,"VE",3
"532",1184,"SA",5
"533",1185,"ME",24
"534",1185,"JE",31
"535",1185,"VE",5
"536",1185,"SA",11
"537",1186,"ME",4
"538",1186,"JE",5
"539",1186,"SA",1
"540",1187,"ME",3
"541",1187,"JE",2
"542",1187,"VE",3
"543",1188,"ME",23
"544",1188,"JE",30
"545",1188,"VE",4
"546",1188,"SA",20
"547",1189,"ME",9
"548",1189,"JE",7
"549",1189,"VE",1
"550",1189,"SA",9
"551",1195,"ME",1
"552",1195,"JE",10
"553",1195,"VE",5
"554",1195,"SA",2
"555",1196,"ME",105
"556",1196,"JE",84
"557",1196,"VE",47
"558",1196,"SA",36
"559",1197,"ME",34
"560",1197,"JE",27
"561",1197,"VE",12
"562",1197,"SA",18
"563",1200,"ME",1
"564",1200,"JE",2
"565",1201,"ME",13
"566",1201,"JE",21
"567",1201,"VE",11
"568",1201,"SA",8
"569",1202,"ME",54
"570",1202,"JE",14
"571",1202,"VE",13
"572",1202,"SA",14
"573",1203,"ME",52
"574",1203,"JE",17
"575",1203,"VE",16
"576",1203,"SA",16
"577",1204,"VE",2
"578",1205,"ME",49
"579",1205,"JE",22
"580",1205,"VE",21
"581",1205,"SA",9
"582",1206,"ME",13
"583",1206,"JE",7
"584",1206,"VE",5
"585",1206,"SA",28
"586",1207,"ME",43
"587",1207,"JE",12
"588",1207,"VE",15
"589",1207,"SA",11
"590",1208,"ME",15
"591",1208,"JE",24
"592",1208,"VE",6
"593",1208,"SA",8
"594",1209,"ME",19
"595",1209,"JE",16
"596",1209,"VE",7
"597",1209,"SA",4
"598",1212,"ME",35
"599",1212,"JE",16
"600",1212,"VE",15
"601",1212,"SA",18
"602",1213,"ME",105
"603",1213,"JE",31
"604",1213,"VE",25
"605",1213,"SA",22
"606",1214,"ME",5
"607",1214,"JE",36
"608",1214,"VE",3
"609",1214,"SA",2
"610",1216,"ME",7
"611",1216,"SA",2
"612",1217,"ME",56
"613",1217,"JE",12
"614",1217,"VE",18
"615",1217,"SA",11
"616",1218,"ME",22
"617",1218,"JE",26
"618",1218,"VE",8
"619",1218,"SA",4
"620",1219,"ME",61
"621",1219,"JE",16
"622",1219,"VE",16
"623",1219,"SA",7
"624",1220,"ME",2
"625",1220,"JE",1
"626",1220,"VE",2
"627",1222,"ME",15
"628",1222,"JE",4
"629",1222,"VE",3
"630",1222,"SA",6
"631",1223,"ME",5
"632",1223,"JE",3
"633",1223,"VE",4
"634",1223,"SA",5
"635",1224,"ME",17
"636",1224,"JE",13
"637",1224,"VE",6
"638",1224,"SA",4
"639",1225,"ME",9
"640",1225,"JE",11
"641",1225,"VE",7
"642",1225,"SA",1
"643",1226,"ME",23
"644",1226,"JE",18
"645",1226,"VE",7
"646",1226,"SA",10
"647",1227,"ME",43
"648",1227,"JE",35
"649",1227,"VE",26
"650",1227,"SA",18
"651",1228,"ME",41
"652",1228,"JE",21
"653",1228,"VE",10
"654",1228,"SA",6
"655",1231,"ME",1
"656",1231,"VE",3
"657",1232,"ME",6
"658",1232,"JE",9
"659",1232,"VE",2
"660",1232,"SA",2
"661",1233,"ME",31
"662",1233,"JE",30
"663",1233,"VE",8
"664",1233,"SA",16
"665",1234,"ME",8
"666",1234,"JE",6
"667",1234,"VE",3
"668",1236,"ME",1
"669",1236,"JE",7
"670",1236,"SA",2
"671",1239,"JE",2
"672",1239,"VE",3
"673",1239,"SA",5
"674",1241,"ME",8
"675",1241,"JE",12
"676",1241,"VE",3
"677",1241,"SA",4
"678",1242,"ME",9
"679",1242,"JE",9
"680",1242,"VE",4
"681",1242,"SA",4
"682",1243,"JE",4
"683",1244,"SA",2
"684",1245,"ME",6
"685",1245,"JE",16
"686",1245,"VE",3
"687",1245,"SA",2
"688",1246,"ME",3
"689",1246,"JE",1
"690",1246,"SA",7
"691",1247,"ME",7
"692",1247,"JE",3
"693",1247,"VE",2
"694",1247,"SA",6
"695",1248,"ME",6
"696",1248,"JE",1
"697",1248,"VE",2
"698",1252,"ME",6
"699",1252,"JE",4
"700",1252,"VE",3
