index,Commune,NPA,Commune d'annonce / District,adjusted_demand_wed,distance_to_venoge_km
96,Champvent,1443,Champvent,2,27.27
97,Les Cullayes,1080,Forel (Lavaux),3,27.56
98,Perroy,1166,Féchy,3,27.66
99,Le Pont,1342,L'Abbaye,2,28.04
103,L'Abbaye,1344,L'Abbaye,1,29.45
104,Puidoux,1070,Puidoux,3,29.6
105,Montherod,1174,Aubonne,2,29.64
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,3,29.77
109,Servion,1077,Servion,3,30.17
110,Mézières VD,1083,Jorat-Mézières,1,30.2
111,Les Tavernes,1607,Oron,2,30.22
114,Cronay,1406,Cronay,1,30.57
115,Châtillens,1610,Oron,3,30.79
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,1,30.86
118,Baulmes,1446,Baulmes,2,30.92
119,Corseaux,1802,Corseaux,2,30.96
120,Chardonne,1803,Chardonne,1,31.29
121,Les Charbonnières,1343,Le Lieu,1,31.67
122,Jongny,1805,Corsier-sur-Vevey,1,31.96
123,Corsier-sur-Vevey,1804,Jongny,1,32.04
124,Bursins,1183,Gilly,1,32.33
126,Orges,1430,Orges,1,32.47
128,Oulens-sur-Lucens,1522,Lucens,4,32.67
130,Ferlens VD,1076,Jorat-Mézières,1,32.92
132,Saubraz,1189,Saubraz,1,33.33
133,Carrouge VD,1084,Vulliens,1,33.34
135,Yvonand,1462,Yvonand,4,33.65
139,La Conversion,1093,Lutry,1,33.94
142,Champagne,1424,Champagne,1,34.42
146,Burtigny,1268,Bursins,1,35.06
148,Bonvillars,1427,Bonvillars,1,35.71
149,Onnens VD,1425,Onnens (VD),1,35.72
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,1,37.0
160,Clarens,1815,Montreux,2,37.78
161,Blonay,1807,Montreux,2,38.06
163,Gimel,1188,Gimel,1,38.37
165,Le Solliat,1347,Le Chenit,1,39.01
173,Prangins,1197,Prangins,1,40.06
