index,Commune,NPA,Commune d'annonce / District,full_demand_sat,distance_to_venoge_km,P_Y,adjusted_demand_sat
54,Peyres-Possens,1063,Montanaire,12.0,19.11,0.5443828762475714,7
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,9.0,19.46,0.5269737865749144,5
56,Villars-Tiercelin,1058,Jorat-Menthue,6.0,19.53,0.5234827114426752,3
57,Villars-Mendraz,1061,Jorat-Menthue,2.0,19.67,0.5164940131078766,1
59,Mollens VD,1146,Mollens (VD),4.0,20.11,0.49450022182259706,2
60,La Croix (Lutry),1090,Lutry,7.0,20.14,0.49300045729748126,3
62,Montricher,1147,Montricher,23.0,20.65,0.46754569361268133,11
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,9.0,20.98,0.45115626505294826,4
65,Vuarrens,1418,Vuarrens,11.0,21.27,0.43683920889452504,5
66,Agiez,1352,Agiez,13.0,21.45,0.42800386706848137,6
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,7.0,21.77,0.41241276875119876,3
68,Villars-sous-Yens,1168,Villars-sous-Yens,6.0,22.24,0.38983638905718954,2
69,Ogens,1045,Ogens,11.0,22.24,0.38983638905718954,4
73,Savigny,1073,Savigny,42.0,23.12,0.34887226139659494,15
74,Berolle,1149,Bière,6.0,23.38,0.337154645059339,2
75,Lavigny,1175,Lavigny,4.0,23.76,0.3203856670948646,1
76,Montpreveyres,1081,Montpreveyres,10.0,23.78,0.31951533878339816,3
77,Pailly,1416,Pailly,13.0,23.93,0.31302819161693,4
78,Ursins,1412,Ursins,7.0,24.22,0.3006930071413841,2
79,Montcherand,1354,Montcherand,7.0,24.57,0.28618201140363403,2
81,Sergey,1355,Sergey,3.0,24.83,0.27567850457660137,1
82,Rances,1439,Rances,4.0,25.11,0.26463800790147674,1
84,Aubonne,1170,Aubonne,23.0,25.22,0.26037892892097797,6
85,Vaulion,1325,Vaulion,11.0,25.22,0.26037892892097797,3
86,Forel (Lavaux),1072,Forel (Lavaux),29.0,25.82,0.23794122425043068,7
87,Buchillon,1164,Buchillon,3.0,26.28,0.22166323840810365,1
88,Féchy,1173,Féchy,2.0,26.33,0.21994275501174526,0
90,Chexbres,1071,Chexbres,26.0,26.4,0.21755022357688752,6
91,Rueyres,1046,Rueyres,1.0,26.51,0.21382861265687306,0
92,Suscévaz,1437,Suscévaz,1.0,26.64,0.20949038109877877,0
93,Gossens,1407,Donneloye,3.0,26.73,0.2065250922659967,1
94,Moudon,1510,Moudon,11.0,26.87,0.2019743549401669,2
95,Vucherens,1509,Vucherens,2.0,27.24,0.19030955880907033,0
96,Champvent,1443,Champvent,9.0,27.27,0.18938672534996576,2
97,Les Cullayes,1080,Forel (Lavaux),11.0,27.56,0.18064258237704414,2
98,Perroy,1166,Féchy,10.0,27.66,0.17770125034862685,2
100,Chanéaz,1409,Montanaire,3.0,28.15,0.16383036122335892,0
101,Neyruz-sur-Moudon,1515,Montanaire,7.0,28.47,0.15525052521746627,1
102,Essertes,1078,Oron,4.0,28.89,0.14455026929774198,1
104,Puidoux,1070,Puidoux,12.0,29.6,0.1278615663190813,2
105,Montherod,1174,Aubonne,2.0,29.64,0.12697211516506995,0
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,12.0,29.77,0.12411785352653222,1
107,Cuarny,1404,Cuarny,3.0,29.87,0.12195989597306507,0
108,Bougy-Villars,1172,Bougy-Villars,2.0,30.02,0.11878358696587324,0
109,Servion,1077,Servion,19.0,30.17,0.11567910281505907,2
110,Mézières VD,1083,Jorat-Mézières,12.0,30.2,0.1150667320455498,1
111,Les Tavernes,1607,Oron,15.0,30.22,0.11466005324769508,2
112,St-Livres,1176,Saint-Livres,2.0,30.27,0.11364882707857812,0
