"","PLZ","day","ticket"
"385",1800,"JE",72
"386",1801,"JE",1
"387",1802,"JE",5
"388",1803,"JE",19
"389",1804,"JE",13
"390",1805,"JE",21
"391",1806,"JE",36
"392",1807,"JE",41
"393",1808,"JE",8
"394",1809,"JE",2
"395",1814,"JE",62
"396",1815,"JE",18
"397",1816,"JE",2
"398",1817,"JE",2
"399",1820,"JE",11
"400",1822,"JE",2
"401",1832,"JE",1
"402",1844,"JE",19
"403",1845,"JE",5
"404",1846,"JE",4
"405",1847,"JE",2
"406",1852,"JE",9
"407",1856,"JE",2
"408",1860,"JE",24
"409",1862,"JE",4
"410",1865,"JE",11
"411",1867,"JE",15
"412",1868,"JE",12
"413",1869,"JE",3
"414",1870,"JE",16
"415",1871,"JE",2
"416",1872,"JE",15
"417",1874,"JE",4
"418",1880,"JE",19
"419",1882,"JE",4
"420",1885,"JE",2
"421",1890,"JE",10
"422",1891,"JE",1
"423",1892,"JE",5
"424",1893,"JE",20
"425",1895,"JE",5
"426",1896,"JE",8
"427",1897,"JE",7
"428",1898,"JE",2
"429",1903,"JE",2
"430",1905,"JE",1
"431",1907,"JE",8
"432",1908,"JE",5
"433",1911,"JE",2
"434",1912,"JE",1
"435",1913,"JE",1
"436",1920,"JE",24
"437",1922,"JE",2
"438",1926,"JE",10
"439",1928,"JE",2
"440",1934,"JE",2
"441",1941,"JE",2
"442",1946,"JE",2
"443",1950,"JE",11
"444",1955,"JE",4
"445",1963,"JE",5
"446",1964,"JE",1
"447",1965,"JE",12
"448",1966,"JE",7
"449",1967,"JE",5
"450",1973,"JE",2
"451",1975,"JE",2
"452",1976,"JE",4
"453",1977,"JE",1
"454",1987,"JE",6
"455",1992,"JE",2
"456",1997,"JE",4
"457",2000,"JE",56
"458",2013,"JE",21
"459",2014,"JE",11
"460",2015,"JE",1
"461",2016,"JE",11
"462",2017,"JE",12
"463",2022,"JE",23
"464",2024,"JE",6
"465",2027,"JE",2
"466",2028,"JE",2
"467",2034,"JE",14
"468",2035,"JE",11
"469",2036,"JE",1
"470",2046,"JE",4
"471",2053,"JE",5
"472",2056,"JE",2
"473",2063,"JE",2
"474",2065,"JE",1
"475",2068,"JE",3
"476",2072,"JE",2
"477",2074,"JE",7
"478",2075,"JE",3
"479",2087,"JE",2
"480",2088,"JE",3
"481",2103,"JE",3
"482",2112,"JE",3
"483",2114,"JE",11
"484",2207,"JE",3
"485",2208,"JE",9
"486",2300,"JE",20
"487",2314,"JE",3
"488",2318,"JE",1
"489",2340,"JE",2
"490",2350,"JE",2
"491",2400,"JE",6
"492",2414,"JE",2
"493",2416,"JE",1
