"","PLZ","day","ticket"
"365",1653,"ME",4
"366",1659,"ME",5
"367",1660,"ME",3
"368",1661,"ME",1
"369",1663,"ME",11
"370",1666,"ME",2
"371",1667,"ME",2
"372",1670,"ME",9
"373",1673,"ME",20
"374",1674,"ME",2
"375",1675,"ME",1
"376",1676,"ME",4
"377",1677,"ME",8
"378",1678,"ME",3
"379",1680,"ME",15
"380",1681,"ME",5
"381",1682,"ME",6
"382",1684,"ME",10
"383",1687,"ME",3
"384",1690,"ME",17
"385",1691,"ME",5
"386",1692,"ME",1
"387",1694,"ME",13
"388",1695,"ME",1
"389",1696,"ME",15
"390",1699,"ME",9
"391",1700,"ME",89
"392",1712,"ME",6
"393",1715,"ME",2
"394",1720,"ME",18
"395",1721,"ME",20
"396",1723,"ME",23
"397",1724,"ME",20
"398",1725,"ME",13
"399",1726,"ME",14
"400",1727,"ME",8
"401",1728,"ME",9
"402",1730,"ME",7
"403",1731,"ME",2
"404",1732,"ME",6
"405",1733,"ME",4
"406",1734,"ME",1
"407",1736,"ME",3
"408",1740,"ME",13
"409",1741,"ME",10
"410",1742,"ME",2
"411",1744,"ME",3
"412",1745,"ME",8
"413",1746,"ME",1
"414",1747,"ME",3
"415",1748,"ME",7
"416",1749,"ME",2
"417",1752,"ME",51
"418",1753,"ME",3
"419",1754,"ME",4
"420",1756,"ME",12
"421",1757,"ME",5
"422",1762,"ME",7
"423",1763,"ME",41
"424",1772,"ME",9
"425",1773,"ME",10
"426",1774,"ME",16
"427",1775,"ME",11
"428",1776,"ME",6
"429",1782,"ME",37
"430",1783,"ME",7
"431",1784,"ME",9
"432",1785,"ME",3
"433",1786,"ME",10
"434",1787,"ME",1
"435",1788,"ME",5
"436",1791,"ME",8
"437",1800,"ME",125
"438",1801,"ME",5
"439",1802,"ME",21
"440",1803,"ME",7
"441",1804,"ME",15
"442",1805,"ME",10
"443",1806,"ME",36
"444",1807,"ME",51
"445",1808,"ME",3
"446",1814,"ME",35
"447",1815,"ME",50
"448",1816,"ME",2
"449",1817,"ME",1
"450",1820,"ME",16
"451",1822,"ME",10
"452",1823,"ME",7
"453",1832,"ME",1
"454",1844,"ME",24
"455",1845,"ME",12
"456",1846,"ME",4
"457",1847,"ME",2
"458",1852,"ME",34
"459",1853,"ME",8
"460",1854,"ME",5
"461",1860,"ME",33
"462",1865,"ME",11
"463",1866,"ME",1
"464",1867,"ME",32
"465",1868,"ME",43
"466",1870,"ME",79
"467",1871,"ME",18
"468",1872,"ME",17
"469",1873,"ME",7
"470",1874,"ME",6
"471",1875,"ME",2
"472",1880,"ME",36
"473",1882,"ME",3
"474",1884,"ME",2
"475",1885,"ME",4
"476",1890,"ME",19
"477",1891,"ME",4
"478",1892,"ME",3
"479",1893,"ME",23
"480",1895,"ME",13
"481",1896,"ME",20
"482",1897,"ME",22
"483",1898,"ME",1
"484",1903,"ME",2
"485",1904,"ME",9
"486",1905,"ME",6
"487",1906,"ME",10
"488",1907,"ME",25
"489",1908,"ME",12
"490",1911,"ME",12
"491",1912,"ME",17
"492",1913,"ME",6
"493",1920,"ME",73
"494",1921,"ME",3
"495",1922,"ME",6
"496",1926,"ME",46
"497",1932,"ME",2
"498",1933,"ME",4
"499",1934,"ME",2
"500",1936,"ME",3
"501",1937,"ME",8
"502",1941,"ME",5
"503",1942,"ME",1
"504",1943,"ME",1
"505",1945,"ME",1
"506",1947,"ME",4
"507",1948,"ME",6
"508",1950,"ME",64
"509",1955,"ME",10
"510",1957,"ME",11
"511",1958,"ME",16
"512",1962,"ME",7
"513",1963,"ME",41
"514",1964,"ME",13
"515",1965,"ME",25
"516",1966,"ME",16
"517",1967,"ME",13
"518",1971,"ME",13
"519",1976,"ME",9
"520",1977,"ME",7
"521",1978,"ME",4
"522",1982,"ME",1
"523",1983,"ME",3
"524",1987,"ME",3
"525",1991,"ME",4
"526",1992,"ME",4
"527",1993,"ME",1
"528",1994,"ME",5
"529",1996,"ME",12
"530",1997,"ME",10
"531",2000,"ME",110
"532",2012,"ME",5
"533",2013,"ME",36
"534",2014,"ME",17
"535",2015,"ME",6
"536",2016,"ME",26
"537",2017,"ME",49
"538",2019,"ME",2
"539",2022,"ME",20
"540",2023,"ME",2
"541",2024,"ME",21
"542",2025,"ME",21
"543",2027,"ME",4
"544",2028,"ME",4
"545",2034,"ME",24
"546",2035,"ME",24
"547",2036,"ME",7
"548",2037,"ME",2
"549",2042,"ME",2
"550",2043,"ME",17
"551",2046,"ME",8
"552",2052,"ME",3
"553",2053,"ME",12
"554",2054,"ME",12
"555",2056,"ME",10
"556",2057,"ME",2
"557",2058,"ME",1
"558",2063,"ME",2
"559",2065,"ME",7
"560",2067,"ME",3
"561",2068,"ME",16
"562",2072,"ME",12
"563",2073,"ME",9
"564",2074,"ME",26
"565",2075,"ME",13
"566",2087,"ME",5
"567",2088,"ME",13
"568",2103,"ME",2
"569",2105,"ME",3
"570",2108,"ME",23
"571",2112,"ME",4
"572",2114,"ME",12
"573",2123,"ME",3
"574",2149,"ME",3
"575",2206,"ME",13
"576",2207,"ME",13
"577",2208,"ME",3
"578",2300,"ME",118
