"","PLZ","day","ticket"
"422",1950,"SA",21
"423",1955,"SA",6
"424",1957,"SA",15
"425",1958,"SA",11
"426",1963,"SA",2
"427",1964,"SA",6
"428",1965,"SA",7
"429",1967,"SA",6
"430",1971,"SA",6
"431",1974,"SA",2
"432",1986,"SA",2
"433",1987,"SA",3
"434",1991,"SA",4
"435",2000,"SA",65
"436",2012,"SA",11
"437",2013,"SA",24
"438",2014,"SA",9
"439",2016,"SA",20
"440",2017,"SA",4
"441",2023,"SA",2
"442",2024,"SA",8
"443",2025,"SA",3
"444",2027,"SA",4
"445",2034,"SA",2
"446",2035,"SA",6
"447",2046,"SA",4
"448",2054,"SA",4
"449",2065,"SA",2
"450",2067,"SA",2
"451",2068,"SA",2
"452",2072,"SA",12
"453",2074,"SA",2
"454",2075,"SA",5
"455",2088,"SA",9
"456",2112,"SA",2
"457",2114,"SA",5
"458",2115,"SA",2
"459",2206,"SA",2
"460",2207,"SA",4
"461",2208,"SA",9
"462",2300,"SA",19
"463",2333,"SA",2
"464",2338,"SA",7
"465",2340,"SA",1
"466",2350,"SA",2
"467",2400,"SA",5
"468",2405,"SA",4
"469",2416,"SA",1
"470",2502,"SA",11
"471",2503,"SA",4
"472",2504,"SA",2
"473",2518,"SA",2
"474",2520,"SA",4
"475",2523,"SA",2
"476",2525,"SA",10
"477",2542,"SA",2
"478",2560,"SA",2
"479",2562,"SA",2
"480",2605,"SA",4
"481",2615,"SA",1
"482",2732,"SA",4
"483",2735,"SA",1
"484",2740,"SA",2
"485",2800,"SA",6
"486",2822,"SA",8
"487",2842,"SA",3
"488",2854,"SA",2
"489",2864,"SA",2
"490",2900,"SA",2
"491",2926,"SA",2
"492",3007,"SA",5
"493",3008,"SA",2
"494",3012,"SA",2
"495",3018,"SA",2
"496",3053,"SA",7
"497",3098,"SA",3
"498",3112,"SA",2
"499",3116,"SA",2
"500",3210,"SA",5
"501",3232,"SA",4
"502",3235,"SA",2
"503",3298,"SA",2
"504",3423,"SA",2
"505",3626,"SA",2
"506",3800,"SA",2
"507",3960,"SA",3
"508",3963,"SA",6
"509",3973,"SA",4
"510",3976,"SA",2
"511",3977,"SA",2
"512",4058,"SA",5
"513",4144,"SA",3
"514",4147,"SA",2
"515",4153,"SA",2
"516",4313,"SA",5
"517",4410,"SA",4
"518",5018,"SA",3
"519",5610,"SA",3
"520",6833,"SA",1
"521",6932,"SA",2
"522",8003,"SA",2
"523",8005,"SA",1
"524",8006,"SA",1
"525",8125,"SA",4
"526",8180,"SA",3
"527",8317,"SA",2
"528",8400,"SA",1
"529",8820,"SA",2
"530",9015,"SA",2
"531",9043,"SA",2
"532",9300,"SA",2
